x,f1,f2,f3,f4,f5,f6,f7,f8
0,1,0.48,0.452,0.496,0.416,0.496,0.496,0
1,1,0.5,0.452,0.5,0.408,0.5,0.5,0
2,1,0.5,0.452,0.5,0.416,0.5,0.5,0
3,1,0,0.452,0.504,0.424,0.504,0.504,0
4,1,0,0.448,0.504,0.424,0.504,0.504,0
5,1,0,0.448,0.508,0.42,0.508,0.508,0.007161458
6,1,0,0.448,0.508,0.42,0.508,0.508,0.030078125
7,1,0,0.448,0.512,0.412,0.512,0.512,0.048079427
8,1,0,0.448,0.52,0.416,0.52,0.52,0.069498698
9,1,0,0.448,0.524,0.416,0.524,0.524,0.088736979
10,1,0,0.448,0.528,0.416,0.528,0.528,0.094889323
11,1,0,0.448,0.532,0.424,0.532,0.532,0.092089844
12,1,0,0.448,0.532,0.42,0.532,0.532,0.086132813
13,1,0,0.448,0.54,0.42,0.54,0.54,0.096842448
14,1,0,0.448,0.544,0.42,0.544,0.544,0.113802083
15,1,0,0.448,0.548,0.42,0.548,0.548,0.121549479
16,1,0,0.448,0.548,0.396,0.548,0.548,0.130078125
17,1,0,0.448,0.548,0.396,0.548,0.548,0.130696615
18,0,0,0.448,0.544,0.42,0.544,0.544,0.130013021
19,0,0,0.448,0.54,0.42,0.54,0.54,0.128776042
20,0,0,0.448,0.536,0.416,0.536,0.536,0.125748698
21,0,0,0.448,0.532,0.392,0.532,0.532,0.117838542
22,0,0,0.448,0.528,0.424,0.528,0.528,0.107454427
23,0,0,0.448,0.528,0.424,0.528,0.528,0.103515625
24,0,0,0.448,0.524,0.42,0.524,0.524,0.108821615
25,0,0,0.444,0.52,0.42,0.52,0.52,0.116471354
26,0,0,0.444,0.516,0.416,0.516,0.516,0.122167969
27,0,0,0.44,0.512,0.42,0.512,0.512,0.12734375
28,0,0,0.432,0.508,0.424,0.508,0.508,0.134277344
29,0,0,0.432,0.504,0.412,0.504,0.504,0.137727865
30,0,0,0.428,0.496,0.376,0.496,0.496,0.137727865
31,1,0,0.428,0.496,0.42,0.496,0.496,0.133398438
32,1,0,0.428,0.496,0.428,0.496,0.496,0.122395833
33,1,0,0.428,0.5,0.428,0.5,0.5,0.116276042
34,1,0,0.428,0.5,0.428,0.5,0.5,0.119954427
35,1,0,0.428,0.504,0.428,0.504,0.504,0.130794271
36,1,0,0.424,0.512,0.428,0.512,0.512,0.136588542
37,1,0,0.428,0.516,0.428,0.516,0.516,0.140983073
38,1,0,0.428,0.52,0.428,0.52,0.52,0.154720052
39,1,0,0.428,0.528,0.416,0.528,0.528,0.166145833
40,1,0,0.428,0.528,0.42,0.528,0.528,0.171061198
41,1,0,0.432,0.532,0.424,0.532,0.532,0.17109375
42,1,0,0.432,0.536,0.428,0.536,0.536,0.164908854
43,1,0,0.432,0.54,0.424,0.54,0.54,0.158040365
44,1,0,0.436,0.544,0.424,0.544,0.544,0.15374349
45,1,0,0.436,0.552,0.424,0.552,0.552,0.155598958
46,0,0,0.44,0.548,0.424,0.548,0.548,0.16344401
47,0,0,0.44,0.544,0.424,0.544,0.544,0.171842448
48,0,0,0.44,0.54,0.424,0.54,0.54,0.182259115
49,0,0,0.436,0.532,0.424,0.532,0.532,0.190917969
