x,f1,f2,f3,f4,f5,f6,f7,f8
0,0.999999881,6.46E-06,0.415248429,0.502059684,0.4197832,0.507124617,0.504783796,0.7375741
1,0.999967456,2.14E-05,0.415771727,0.500038332,0.420383799,0.503397041,0.498738003,0.735548449
2,0.999999881,7.07E-06,0.415829929,0.504083238,0.419481174,0.507571586,0.505682592,0.735554218
3,0.999983311,7.66E-06,0.418862487,0.505231199,0.414219,0.507308861,0.503837302,0.742428827
4,0.999999523,3.73E-06,0.415969738,0.506308618,0.416063248,0.509927087,0.509111101,0.73852334
5,0.999934435,6.29E-06,0.417194913,0.509378182,0.418899243,0.512456369,0.508735775,0.742777777
6,0.999999404,2.34E-06,0.414801694,0.511866677,0.417457853,0.515618304,0.514853514,0.745287132
7,0.999930143,5.48E-06,0.417109539,0.513328013,0.414522774,0.515805999,0.513000014,0.75259428
8,0.999999404,1.37E-06,0.416368621,0.518613468,0.417025337,0.523407184,0.520977085,0.746133566
9,0.999972343,2.1E-06,0.420449095,0.524920449,0.417614408,0.527441381,0.524665444,0.744971228
10,0.999999404,5.03E-08,0.422218337,0.528240383,0.418759535,0.530490283,0.528819175,0.74609971
11,0.999971628,1.81E-08,0.428433247,0.531062158,0.417520656,0.533307482,0.530870338,0.753327799
12,1,3.61E-09,0.427266736,0.539475573,0.417580361,0.545774872,0.543024349,0.743343973
13,0.770974338,9.39E-07,0.427236005,0.541645594,0.417444258,0.539936151,0.538386717,0.734399605
14,3.87E-08,4.14E-07,0.425528241,0.539748743,0.419759431,0.54058679,0.541960207,0.733261776
15,2.15E-25,3.12E-07,0.423815451,0.536403066,0.413741004,0.533747694,0.536140255,0.737451553
16,3.23E-21,2.64E-06,0.420863826,0.528274907,0.408450961,0.532747224,0.532406817,0.744157124
17,6.3E-25,7.33E-06,0.419285746,0.52941939,0.399842759,0.52781372,0.530421755,0.737530375
18,2.47E-15,4.64E-07,0.415924634,0.525557946,0.38490504,0.52362138,0.526682966,0.739494324
19,1.48E-12,5.5E-08,0.415946708,0.522464118,0.398913018,0.520903684,0.522286014,0.735429764
20,1.38E-09,1.28E-07,0.415518277,0.517841195,0.404960328,0.520826002,0.519248613,0.741251326
21,5.84E-10,4.12E-07,0.416503833,0.518103225,0.408887743,0.517823888,0.518118066,0.740600014
22,3E-08,6.14E-07,0.411598306,0.517092368,0.402384357,0.520465947,0.519348962,0.728017569
23,5.21E-12,4.5E-06,0.408881073,0.51749487,0.405230418,0.515942705,0.516842858,0.708936548
24,1.16E-11,1.06E-05,0.410781003,0.515685509,0.410338492,0.518651839,0.515862962,0.717000771
25,3.95E-18,4.82E-05,0.411208137,0.515686831,0.405732853,0.513479156,0.514983208,0.712568331
26,1.08E-14,3.82E-05,0.412361111,0.51585698,0.403376376,0.516792891,0.51625963,0.715683222
27,1.26E-18,1.56E-05,0.412960169,0.516964249,0.393140707,0.514015021,0.516554495,0.708966208
28,2.38E-16,7.23E-05,0.410249137,0.51093187,0.392691906,0.513220376,0.511852646,0.715038729
29,1.21E-21,0.000662837,0.406014977,0.511693553,0.397095564,0.509599907,0.51148847,0.705989218
30,1.01E-06,0.012748646,0.411149464,0.504497368,0.404232582,0.50756459,0.505471638,0.72477808
31,0.994494498,0.003551613,0.412820442,0.500851439,0.398981914,0.501411611,0.499303389,0.7286129
32,1,0.004561721,0.411108568,0.506280923,0.398859727,0.508541786,0.507621729,0.716222858
33,0.999999166,0.017312211,0.407755482,0.506208114,0.395070703,0.50580417,0.503764029,0.713151979
34,0.999999881,0.022133284,0.405681284,0.51076438,0.398977008,0.511555673,0.511256223,0.681587887
35,0.999841452,0.008245369,0.403317434,0.510693114,0.396565053,0.510295033,0.50929493,0.665484524
