x-r,y-r,x-s,y-s
2.983309972,0.510165286,-0.009046901,0.60722846
4.493800361,0.012580128,4.327516756,-0.198567614
-1.371726692,0.02587042,-2.269674548,0.119111189
-0.812905315,-0.040712658,-0.518490196,0.378311911
0.791828473,0.04980496,-2.250140106,0.198233241
-0.798779192,-0.031030555,-0.562895434,0.372613236
-0.815022173,-0.034227469,-0.562895434,0.372613236
-0.909010232,0.066981873,-0.049596092,0.040681462
1.635153155,1.138086278,1.525512772,0.669334516
4.504879378,0.003131045,4.505817181,0.002082601
-1.960833077,-0.063425114,-2.027876301,-0.098806606
-0.444070932,-0.349661015,-0.497222863,-0.376750715
-1.578707957,-0.10461265,-2.179212723,-0.070605294
-0.50815719,-0.319146928,-0.541945523,-0.371179799
-0.49214291,-0.346005014,-0.541945523,-0.371179799
-2.604068113,0.08869767,-2.166931928,-0.025802467
1.898515026,0.327402996,-1.637763947,-0.144582638
4.50363961,0.003963656,2.496605023,0.383683643
-1.605071373,-0.09928774,-2.177032595,-0.137729563
-0.513695233,-0.294968361,-1.126550431,0.226882311
-1.191753739,-0.181864132,-2.1048465,0.126595951
-0.574458749,-0.280394764,-1.161880142,0.223443779
-0.563369716,-0.298345337,-1.161880142,0.223443779
-2.722428687,-0.020474326,-0.53345718,-0.285139012
-1.130175398,-1.739722152,0.733143842,-1.297958795
4.385753862,0.002275806,4.505817181,0.002082601
-2.084638856,0.033718566,-1.882543931,-0.004679895
-1.135973545,0.297927261,-0.519648308,0.322097407
-1.772689034,0.012194688,-1.507360314,0.204955907
-1.197309456,0.286290507,-0.56403626,0.317237754
-1.185913409,0.307133449,-0.56403626,0.317237754
-0.631336613,0.330658827,-2.911861232,-0.003217403
4.505220725,0.002277444,0.885344511,0.469196926
4.500066249,0.00827133,3.178141332,0.468313783
-1.040418319,-0.077302932,-1.959093081,-0.097383317
-0.832802451,-0.028578077,-1.066833188,-0.076054172
0.187639861,0.052659002,-2.142557906,-0.181163978
-0.839632558,-0.025853195,-1.103054201,-0.074971264
-0.854958715,-0.030425153,-1.103054201,-0.074971264
-1.706428305,-0.061604454,2.357759851,-0.217343224
3.230399251,-0.881050956,0.521974488,-0.642613053
4.505010416,0.002118415,3.403093853,0.456262016
-1.671068046,0.012458469,-1.882612991,0.072510955
-0.552544615,-0.173084951,-1.200045577,-0.119240402
-1.150693646,-0.009030597,-2.120388501,0.001692292
-0.579354547,-0.172799727,-1.234278347,-0.117512924
-0.588687353,-0.170233456,-1.234278347,-0.117512924
-1.557696741,0.104645774,-1.057274738,-0.08092448
4.505625632,0.002112755,0.007254527,1.690846511
4.50577999,0.002084828,3.923034937,0.527787358
-1.231875113,-0.022943197,-1.790784279,-0.174676789
-0.623709784,-0.02303722,-0.68651635,-0.186333018
0.358433457,0.074948407,-2.157427282,0.021385598
-0.626112218,-0.020354949,-0.728413734,-0.183604157
-0.637191464,-0.022031671,-0.728413734,-0.183604157
-1.534343552,0.067320742,-1.743288665,-0.015203354
3.514832141,-0.624614686,4.505817181,0.002082601
4.495699618,-0.001101234,4.505817181,0.002082601
-1.125139492,0.036947337,-2.460653207,0.017002213
-0.890356312,0.069585347,-0.418246995,0.002894173
-0.146246743,-0.020665962,-1.921667968,0.030491747
-0.892750089,0.066243087,-0.464148399,0.002798748
-0.913806941,0.069568171,-0.464148399,0.002798748
-1.13891138,0.03139558,-2.810144631,0.027828978
2.286581782,-2.472413497,4.505817181,0.002082601
4.21801488,-0.316850452,4.505817181,0.002082601
-1.044735519,0.062308452,-1.994279813,0.028777243
-0.957198461,0.135280477,-0.090536284,-0.010066203
-0.751362744,-0.15369405,-2.303767628,0.059603761
-0.974004251,0.119549322,-0.141328893,-0.00996819
-0.99449262,0.134933521,-0.141328893,-0.00996819
-0.539074416,0.17282868,-2.743970295,-0.002423203
1.366977198,-3.302355875,-0.866502415,2.180854246
4.505225393,0.001587707,3.050537464,0.071446463
-1.707586937,0.03545867,-2.197004789,-0.049657442
-0.553628137,-0.046429212,-0.86519933,-0.047505395
-1.24375636,-0.258922684,-2.136571821,0.013366822
-0.611927354,-0.059796295,-0.904429804,-0.046848588
-0.601023877,-0.041290227,-0.904429804,-0.046848588
-2.704860319,0.022044268,-1.076591073,-0.000345544
1.568795353,-1.537390853,-3.004458257,0.511511694
4.495241302,0.004618852,4.505817181,0.002082601
-1.341809375,-0.08567643,-1.943711236,0.132075035
-0.645558733,-0.295990149,-0.7308461,0.059552628
-1.047659101,-0.156274073,-2.144659125,0.087050643
-0.702049157,-0.297390192,-0.772081846,0.058611554
-0.691186887,-0.300248663,-0.772081846,0.058611554
-2.731583821,0.045895184,-2.896937264,-0.031709664
3.383115003,-1.116062026,0.522297126,-0.807909311
4.504806799,0.00161378,4.505817181,0.002082601
-1.296391845,0.050139129,-2.424884618,0.094619558
-0.409791392,-0.059224911,-1.163613122,-0.016967433
-0.373899255,-0.227915258,-2.256727789,0.036191599
-0.447993153,-0.065531815,-1.198389659,-0.016766417
