x-r,y-r,x-s,y-s
1.876079552,-1.927705853,3.461162576,0.493738962
3.427467654,-0.640302428,3.943233567,-0.004597196
-1.812184488,0.099131306,-3.179449203,0.092844679
-1.413259817,0.122723335,-2.077514546,0.065143882
-1.129686315,0.575237879,-3.10051329,0.051059666
-1.374157887,0.118036074,-2.107024816,0.063911194
-1.386676968,0.101691063,-2.107024816,0.063911194
0.549653769,0.115902703,-3.108030828,0.000374187
1.129860978,0.065805271,0.340368346,-0.346879761
3.939306036,-0.007401521,3.943233567,-0.004597196
-1.60520961,-0.013853054,-3.019457224,0.125740916
-1.041330793,-0.616478813,-1.057534443,0.045726525
0.268081348,0.1967813,-2.297584186,0.190532451
-1.040245238,-0.594287679,-1.102268297,0.044783648
-1.048349066,-0.598339384,-1.102268297,0.044783648
-2.465084267,0.028332408,-3.473694481,-0.012575245
2.23903773,-1.059000986,0.439252546,2.104258818
3.645076218,-0.211705219,3.943233567,-0.004597196
-1.371440897,-0.342963823,-2.799931864,0.431705195
-1.20133961,0.111641258,-2.902112466,0.351458327
-0.240625108,-0.714785231,-2.681591072,0.442063226
-1.164825292,0.098022981,-2.919315304,0.345952288
-1.160129032,0.094593014,-2.919315304,0.345952288
2.000639638,-0.684217761,-3.751871782,0.185745044
1.198389788,-3.110304428,0.947162137,-0.527916827
3.939526925,-0.006163042,3.943233567,-0.004597196
-1.623068788,0.184061289,-3.110869426,-0.030877735
-0.742840131,-0.044417465,-1.070271585,0.035904688
0.151389251,0.382433835,-2.536878706,0.349908005
-0.75522605,-0.054161833,-1.114815332,0.035108405
-0.76286256,-0.067873104,-1.114815332,0.035108405
-2.173457946,-0.835164443,-3.474598397,-0.018971228
1.66477804,0.919477509,2.469717283,1.812503877
3.724016445,0.071978422,3.943233567,-0.004597196
-1.838434621,0.063106555,-3.159645939,-0.093886638
-1.475713356,0.003017443,-2.094495677,0.048396377
-1.085140892,0.001714164,-2.859722455,0.123041004
-1.426222136,0.002678666,-2.123752497,0.047413651
-1.437430949,0.006024517,-2.123752497,0.047413651
0.101633579,0.047443734,-3.469102035,-0.013909168
3.806651093,0.117172646,0.05508397,0.003472417
3.940274428,-0.004889653,3.943233567,-0.004597196
-1.676960119,0.002126061,-2.77110123,-0.042874485
-1.258544294,0.374067138,-1.14949019,-0.079198609
0.222400697,-0.09456907,-2.37529265,-0.198743785
-1.237035413,0.359713225,-1.19285157,-0.078276932
-1.239804435,0.359268713,-1.19285157,-0.078276932
-1.921667452,0.314534458,-3.358450184,0.113158275
1.120350134,-1.471296404,0.197417474,1.496828459
3.717056301,-0.284148343,3.943233567,-0.004597196
-1.678711665,0.126801441,-2.964393533,0.265470228
-0.982552583,-0.580296904,-1.726815596,0.626580467
0.082818528,0.143648363,-2.835536959,0.234621877
-0.981642663,-0.554609612,-1.761560179,0.616968128
-0.98337866,-0.563895384,-1.761560179,0.616968128
