x-r,y-r,x-s,y-s
-0.014561774,-1.596100793,-0.628937113,2.243293068
3.546320152,0.169968937,2.44571244,0.930284825
0.171600579,0.026245863,0.221959823,-0.545711026
-0.563059813,0.063013453,1.464908751,-0.487009537
0.318154651,0.033937713,-2.757409969,-0.090904729
-0.562749185,0.062470614,1.464908751,-0.487009537
-0.556762135,0.064349701,1.464908751,-0.487009537
-2.13170846,-0.047361563,2.305134339,0.441326157
-1.045784294,-1.296873085,-0.729720987,1.873988767
3.605082504,0.088337582,3.621338548,0.11005034
0.171095805,0.026201886,-2.184873337,-0.144471579
-0.56070652,0.070134801,1.342287976,0.768986618
0.32093384,0.034039672,-2.651457059,0.337038035
-0.562327324,0.069153962,1.342287976,0.768986618
-0.556144282,0.06969661,1.342287976,0.768986618
-2.083669773,-0.074292547,-2.965534261,-0.327193129
-0.877913764,0.765980405,0.468014467,-2.084497223
3.574547642,0.161907388,3.621338548,0.11005034
0.176363919,0.016586048,-0.799696122,0.101942301
-0.596462849,0.129361032,1.867361108,-0.18429444
0.313246711,0.040224473,-2.773278556,-0.167872037
-0.598293302,0.129820938,1.867361108,-0.18429444
-0.59127727,0.128883833,1.867361108,-0.18429444
-1.883615379,-0.077788138,-3.718465006,-0.035931258
-0.905182861,0.817281232,0.149104737,1.442115215
3.530749955,0.101623241,3.621338548,0.11005034
0.18324911,0.001069948,-0.42679384,-0.017227253
-0.658875001,-0.080058784,2.062172309,-0.449797532
0.324529754,0.005702965,-2.183417225,-0.347787233
-0.660494433,-0.081803596,2.062172309,-0.449797532
-0.650704759,-0.0825364,2.062172309,-0.449797532
-1.697594613,0.002863945,-3.695884533,-0.077268248
-0.781196265,-1.34316874,-0.635907545,2.13517241
3.598931448,0.09820404,2.617563338,-0.260028755
0.170262433,0.017978573,-0.714546993,0.144590899
-0.616348729,-0.112087427,2.069339343,-0.537343449
0.309226593,-0.000976123,-2.58805854,-0.122144112
-0.617142361,-0.11021019,2.069339343,-0.537343449
-0.613231017,-0.111159777,2.069339343,-0.537343449
-1.900141139,-0.018529774,-2.77132487,-0.383195951
-0.674127134,-1.247461972,-0.729942101,1.365155923
3.434585146,0.065248521,3.621338548,0.11005034
0.18243617,0.034507221,0.468866629,-0.242787356
-0.615212484,0.101952093,1.974328318,0.572022841
0.32241472,0.05230602,-2.49684865,-0.102840529
-0.616475339,0.102320052,1.974328318,0.572022841
-0.608187726,0.108519449,1.974328318,0.572022841
-1.852774304,-0.202342768,-3.640225241,-0.017293281
0.353158287,-0.387498692,0.836114462,1.965408329
3.501656961,0.048028445,2.991237415,0.450071989
0.186880912,0.019098061,-0.709146941,-0.42912775
-0.539117223,-0.100221532,1.069282627,0.030279153
0.329236528,0.004762697,-2.969539554,0.048401856
-0.541085994,-0.100777161,1.069282627,0.030279153
-0.533736251,-0.098875484,1.069282627,0.030279153
-2.080926861,-0.051612311,1.23380249,-0.347532733
-0.656086957,-2.86020626,-0.965233187,-2.72995838
3.476479113,0.126163694,3.621338548,0.11005034
0.178783992,0.024319202,0.106609139,0.376361136
-0.614229771,-0.066577108,1.51920601,0.472620614
0.32035075,0.005286876,-2.671327818,0.187574776
-0.615271113,-0.065478307,1.51920601,0.472620614
-0.607388564,-0.063883027,1.51920601,0.472620614
-1.84905456,-0.131857815,-3.690304415,-0.086542524
-0.724577297,3.376289946,-0.274966944,-1.214873308
3.503696449,0.153953201,3.621338548,0.11005034
0.190692166,-0.001030335,-0.571003778,0.079302315
-0.56707909,0.041973145,1.85979565,-0.521167766
0.32622353,0.02207762,-2.907425094,-0.280641354
-0.569133899,0.040556276,1.85979565,-0.521167766
-0.561098966,0.037889768,1.85979565,-0.521167766
-1.953299128,0.073573981,-3.833499231,-0.151401713
-0.195159856,0.18677429,0.169647098,0.582807206
3.526093992,0.024101617,3.621338548,0.11005034
0.162792194,0.008997177,-0.740035114,0.311844572
-0.576058071,-0.009117856,1.849565294,0.579047837
0.325314195,0.020794129,-2.335068505,0.204510141
-0.579537319,-0.008487002,1.849565294,0.579047837
-0.571945819,-0.005028593,1.849565294,0.579047837
-1.832691671,-0.131363847,-3.699047726,-0.087532987
-0.020063346,-3.46502585,0.357157689,-0.872652236
3.517979992,0.098970995,2.783354303,0.790722667
0.187277689,0.034713769,-0.271351539,-0.476033019
-0.565537221,-0.021500639,1.870779487,-0.613620123
0.325114075,0.019866252,-2.798461433,-0.069135245
-0.56886825,-0.020922732,1.870779487,-0.613620123
-0.559175173,-0.019354551,1.870779487,-0.613620123
-1.922586123,-0.159065706,-2.669864687,0.079126036
0.186845487,-3.156059109,-0.535363539,0.661399274
3.562077207,0.112232568,3.621338548,0.11005034
0.168359646,0.025106243,-1.141381011,0.259424689
-0.588158795,-0.00191262,-0.028923963,-0.269063614
0.31236793,0.024453633,-2.683242814,0.238960261
-0.588293862,-0.000925822,-0.028923963,-0.269063614
-0.58412525,0.004195856,-0.028923963,-0.269063614
-2.076223174,-0.113472357,-3.956418726,-0.206600931
-0.50817962,-1.739850249,0.139679969,-1.652505504
3.537783264,0.106591697,3.621338548,0.11005034
0.186531128,0.027032595,-1.283163326,-0.109003187
-0.698980174,0.101742997,1.873718546,0.246061372
0.325700992,0.029057887,-2.356965831,0.054250995
-0.699150438,0.103432323,1.873718546,0.246061372
-0.691189415,0.104193683,1.873718546,0.246061372
-1.514277068,-0.221390007,-3.941645393,-0.107618945
-1.114446392,-0.371714784,-0.140741551,-1.44969764
3.494785892,0.126357463,3.621338548,0.11005034
0.187317415,0.022167577,0.360519869,-0.052310175
-0.590232495,0.114481613,1.716188569,0.623535403
0.318965225,0.04160964,-2.339287147,0.153224224
-0.59195893,0.114680266,1.716188569,0.623535403
-0.584263621,0.115705917,1.716188569,0.623535403
-2.001536684,-0.114478113,-3.871100605,-0.097406659
0.218785938,-1.907068694,-0.527438597,2.735636798
3.587915435,0.077725937,3.621338548,0.11005034
0.173836032,0.038643057,-0.908108521,-0.480137033
-0.595112979,0.098301774,1.803589871,-0.278575927
0.313337813,0.043070711,-2.430102143,0.031075174
-0.595184556,0.098076621,1.803589871,-0.278575927
-0.590470179,0.10312697,1.803589871,-0.278575927
-1.89373237,-0.156102961,-3.75380278,-0.05440069
-0.950842234,-1.171363227,0.189472382,-1.934509593
3.536422858,0.103678535,3.621338548,0.11005034
0.187220345,0.013852446,-1.370627603,0.223940296
-0.694095332,-0.109533599,1.813114336,0.091991839
0.328621696,0.011640034,-2.633794094,-0.030997012
-0.694164951,-0.108823473,1.813114336,0.091991839
-0.684602907,-0.10655967,1.813114336,0.091991839
-1.653196503,-0.004796472,-3.914915635,-0.096330379
-0.14580044,-3.536624754,-0.11466889,-1.779556871
3.478572887,0.05805173,3.335021529,0.341826009
0.186585,0.037448926,-0.580914696,0.031628925
-0.57997532,1.86E-05,1.854847344,0.271446397
0.326284052,0.030865261,-2.090394946,0.234378787
-0.58241029,0.001583296,1.854847344,0.271446397
-0.573058096,0.006371564,1.854847344,0.271446397
-1.97505797,-0.155233762,-3.778923012,-0.152454114
-0.294518302,2.560476223,0.614254759,-0.316556884
3.536916141,0.158356927,3.621338548,0.11005034
0.171895237,8.85E-05,-0.668782028,0.102789721
-0.543219575,-0.063577441,0.019783517,0.110812696
0.325744677,0.002277314,-2.582157742,-0.333454712
-0.544003799,-0.063701279,0.019783517,0.110812696
-0.536589264,-0.069674316,0.019783517,0.110812696
-2.085555321,0.025567083,-4.026233878,-0.073054418
-0.207471394,-2.713117752,0.193396407,-1.778088877
3.570655085,0.137618722,3.621338548,0.11005034
0.178356816,0.025111005,-0.850663296,-0.01619952
-0.584454392,0.027524336,1.862536237,-0.115023159
0.322162094,0.02255365,-2.447895402,-0.090484029
-0.588821756,0.028027993,1.862536237,-0.115023159
