x,f1,f2,f3,f4,f5,f6,f7,f8
0,1,0.188,0.368,0.492,0.408,0.492,0.492,0
1,1,0,0.368,0.492,0.408,0.492,0.492,0
2,1,0,0.396,0.488,0.404,0.488,0.488,0
3,1,0,0.428,0.484,0.404,0.484,0.484,0
4,1,0,0.448,0.484,0.404,0.484,0.484,0.011197917
5,1,0,0.448,0.484,0.404,0.484,0.484,0.024707031
6,1,0,0.452,0.488,0.4,0.488,0.488,0.029882813
7,1,0,0.452,0.488,0.408,0.488,0.488,0.028710938
8,1,0,0.452,0.492,0.412,0.492,0.492,0.027701823
9,1,0,0.452,0.492,0.412,0.492,0.492,0.030175781
10,1,0,0.448,0.496,0.412,0.496,0.496,0.037467448
11,1,0,0.448,0.5,0.412,0.5,0.5,0.051432292
12,1,0,0.448,0.5,0.396,0.5,0.5,0.070345052
13,1,0,0.448,0.504,0.408,0.504,0.504,0.086653646
14,1,0,0.448,0.512,0.408,0.512,0.512,0.101432292
15,1,0,0.448,0.516,0.412,0.516,0.516,0.114420573
16,1,0,0.448,0.52,0.416,0.52,0.52,0.119042969
17,1,0,0.448,0.524,0.424,0.524,0.524,0.1171875
18,1,0,0.448,0.528,0.42,0.528,0.528,0.11344401
19,1,0,0.448,0.532,0.392,0.532,0.532,0.111035156
20,1,0,0.448,0.536,0.424,0.536,0.536,0.106315104
21,1,0,0.448,0.54,0.42,0.54,0.54,0.096744792
22,1,0,0.448,0.544,0.42,0.544,0.544,0.095052083
23,1,0,0.448,0.548,0.42,0.548,0.548,0.101497396
24,1,0,0.448,0.552,0.42,0.552,0.552,0.108138021
25,0,0,0.448,0.552,0.42,0.552,0.552,0.114095052
26,0,0,0.448,0.548,0.416,0.548,0.548,0.124186198
27,0,0,0.444,0.548,0.412,0.548,0.548,0.134700521
28,0,0,0.44,0.544,0.412,0.544,0.544,0.142415365
29,0,0,0.436,0.544,0.412,0.544,0.544,0.148177083
30,0,0,0.432,0.54,0.384,0.54,0.54,0.147265625
31,0,0,0.436,0.54,0.42,0.54,0.54,0.149088542
32,0,0,0.436,0.54,0.416,0.54,0.54,0.152408854
33,0,0,0.436,0.536,0.416,0.536,0.536,0.156054688
34,0,0,0.436,0.536,0.416,0.536,0.536,0.15625
35,0,0,0.436,0.536,0.412,0.536,0.536,0.156477865
36,0,0,0.436,0.532,0.416,0.532,0.532,0.151464844
37,0,0,0.436,0.532,0.42,0.532,0.532,0.140364583
38,0,0,0.436,0.532,0.42,0.532,0.532,0.126920573
39,0,0,0.436,0.528,0.42,0.528,0.528,0.113411458
40,0,0,0.436,0.528,0.408,0.528,0.528,0.10328776
41,0,0,0.436,0.528,0.424,0.528,0.528,0.106640625
42,0,0,0.436,0.524,0.42,0.524,0.524,0.116927083
43,0,0,0.436,0.524,0.42,0.524,0.524,0.110839844
44,0,0.088,0.436,0.524,0.42,0.524,0.524,0.100846354
45,1,0.276,0.408,0.52,0.416,0.52,0.52,0.08984375
46,1,0.224,0.424,0.52,0.388,0.52,0.52,0.060839844
47,1,0.216,0.428,0.52,0.42,0.52,0.52,0.037207031
48,1,0.116,0.428,0.52,0.42,0.52,0.52,0.0203125
49,1,0,0.432,0.52,0.42,0.52,0.52,0.015559896
50,1,0,0.432,0.52,0.42,0.52,0.52,0.016764323
51,1,0,0.428,0.52,0.416,0.52,0.52,0.043880208
52,1,0,0.424,0.524,0.42,0.524,0.524,0.077929688
53,1,0,0.424,0.528,0.42,0.528,0.528,0.119433594
54,1,0,0.428,0.532,0.404,0.532,0.532,0.129557292
55,1,0,0.436,0.536,0.42,0.536,0.536,0.127408854
56,1,0,0.436,0.54,0.42,0.54,0.54,0.12516276
57,0,0,0.44,0.544,0.42,0.544,0.544,0.126920573
58,0,0,0.44,0.54,0.42,0.54,0.54,0.134082031
59,0,0,0.44,0.54,0.42,0.54,0.54,0.149088542
60,0,0,0.44,0.54,0.416,0.54,0.54,0.177278646
61,0,0,0.436,0.54,0.416,0.54,0.54,0.201367188
62,0,0,0.432,0.54,0.408,0.54,0.54,0.21500651
63,0,0,0.428,0.54,0.408,0.54,0.54,0.232389323
64,0,0,0.428,0.54,0.416,0.54,0.54,0.248209635
65,0,0,0.432,0.54,0.4,0.54,0.54,0.249804688
66,0,0,0.432,0.54,0.42,0.54,0.54,0.260904948
67,0,0,0.436,0.54,0.404,0.54,0.54,0.273763021
68,0,0,0.436,0.54,0.412,0.54,0.54,0.276692708
69,0,0,0.436,0.54,0.42,0.54,0.54,0.27578125
70,0,0,0.44,0.54,0.416,0.54,0.54,0.273860677
71,0,0,0.44,0.536,0.408,0.536,0.536,0.272884115
72,0,0,0.436,0.536,0.416,0.536,0.536,0.27828776
73,0,0,0.428,0.536,0.42,0.536,0.536,0.288378906
74,0,0,0.42,0.536,0.416,0.536,0.536,0.306542969
75,0,0,0.42,0.536,0.412,0.536,0.536,0.323925781
76,0,0,0.42,0.536,0.412,0.536,0.536,0.340820313
77,0,0,0.424,0.536,0.412,0.536,0.536,0.360123698
78,0,0,0.428,0.536,0.392,0.536,0.536,0.367936198
79,0,0,0.432,0.536,0.416,0.536,0.536,0.362792969
80,0,0,0.432,0.536,0.42,0.536,0.536,0.372916667
81,0,0,0.436,0.532,0.416,0.532,0.532,0.38733724
82,0,0,0.436,0.532,0.416,0.532,0.532,0.402278646
83,0,0,0.436,0.532,0.412,0.532,0.532,0.418717448
84,0,0,0.44,0.528,0.412,0.528,0.528,0.434082031
85,0,0,0.44,0.528,0.412,0.528,0.528,0.448860677
86,0,0,0.44,0.528,0.416,0.528,0.528,0.463704427
87,0,0,0.44,0.528,0.4,0.528,0.528,0.459960938
88,0,0,0.44,0.524,0.416,0.524,0.524,0.468229167
89,0,0,0.44,0.524,0.412,0.524,0.524,0.481119792
90,0,0,0.44,0.524,0.416,0.524,0.524,0.496940104
91,0,0,0.44,0.52,0.412,0.52,0.52,0.51624349
92,0,0,0.436,0.52,0.412,0.52,0.52,0.533561198
93,0,0,0.436,0.52,0.412,0.52,0.52,0.551888021
94,0,0,0.436,0.52,0.416,0.52,0.52,0.567252604
95,0,0,0.436,0.516,0.412,0.516,0.516,0.562988281
96,0,0,0.436,0.516,0.42,0.516,0.516,0.578776042
97,0,0,0.436,0.516,0.416,0.516,0.516,0.597558594
98,0,0,0.44,0.516,0.416,0.516,0.516,0.615885417
99,0,0,0.44,0.516,0.416,0.516,0.516,0.635677083
100,0,0,0.44,0.516,0.416,0.516,0.516,0.654654948
101,0,0,0.44,0.516,0.416,0.516,0.516,0.673079427
102,0,0,0.44,0.516,0.416,0.516,0.516,0.692220052
103,0,0,0.44,0.516,0.408,0.516,0.516,0.691015625
104,0,0,0.44,0.516,0.416,0.516,0.516,0.70859375
105,0,0,0.44,0.516,0.416,0.516,0.516,0.724609375
106,0,0,0.44,0.516,0.408,0.516,0.516,0.736393229
107,0,0,0.44,0.516,0.412,0.516,0.516,0.741731771
108,0,0,0.44,0.516,0.412,0.516,0.516,0.744075521
109,0,0,0.44,0.516,0.412,0.516,0.516,0.745963542
110,0,0,0.44,0.516,0.412,0.516,0.516,0.747753906
111,0,0,0.44,0.516,0.416,0.516,0.516,0.747786458
112,0,0,0.44,0.516,0.412,0.516,0.516,0.74921875
113,0,0,0.44,0.516,0.404,0.516,0.516,0.749544271
114,0,0,0.44,0.516,0.408,0.516,0.516,0.750097656
115,0,0,0.44,0.516,0.408,0.516,0.516,0.751302083
116,0,0,0.44,0.516,0.412,0.516,0.516,0.750455729
117,0,0,0.44,0.516,0.412,0.516,0.516,0.749251302
118,0,0,0.44,0.516,0.412,0.516,0.516,0.747135417
119,0,0,0.44,0.516,0.412,0.516,0.516,0.748339844
120,0,0,0.436,0.516,0.412,0.516,0.516,0.747721354
121,0,0,0.436,0.516,0.412,0.516,0.516,0.748502604
122,0,0,0.436,0.516,0.412,0.516,0.516,0.749544271
123,0,0,0.436,0.516,0.416,0.516,0.516,0.74921875
124,0,0,0.436,0.516,0.412,0.516,0.516,0.749609375
125,0,0,0.436,0.516,0.412,0.516,0.516,0.750325521
126,0,0,0.436,0.516,0.412,0.516,0.516,0.749902344
127,0,0,0.436,0.516,0.412,0.516,0.516,0.749869792
128,0,0,0.436,0.516,0.412,0.516,0.516,0.749186198
129,0,0,0.436,0.516,0.416,0.516,0.516,0.745996094
130,0,0,0.436,0.516,0.42,0.516,0.516,0.743326823
131,0,0,0.436,0.516,0.42,0.516,0.516,0.74046224
132,0,0,0.436,0.516,0.404,0.516,0.516,0.738736979
