x,f1,f2,f3,f4,f5,f6,f7,f8
0,1,0.36,0.448,0.52,0.416,0.52,0.52,0
1,1,0.36,0.448,0.52,0.416,0.52,0.52,0
2,1,0.36,0.448,0.524,0.416,0.524,0.524,0
3,1,0.36,0.448,0.524,0.416,0.524,0.524,0
4,1,0.36,0.448,0.528,0.416,0.528,0.528,0
5,1,0.36,0.448,0.528,0.416,0.528,0.528,0
6,1,0.152,0.448,0.532,0.416,0.532,0.532,0
7,1,0,0.448,0.532,0.416,0.532,0.532,0
8,1,0,0.444,0.536,0.416,0.536,0.536,0
9,1,0,0.444,0.536,0.416,0.536,0.536,0
10,1,0,0.444,0.54,0.416,0.54,0.54,0.000325521
11,1,0,0.444,0.54,0.416,0.54,0.54,0.005110677
12,1,0,0.444,0.544,0.416,0.544,0.544,0.012304688
13,1,0,0.444,0.544,0.416,0.544,0.544,0.01891276
14,1,0,0.444,0.544,0.416,0.544,0.544,0.025585938
15,1,0,0.444,0.548,0.416,0.548,0.548,0.03343099
16,0,0,0.444,0.548,0.404,0.548,0.548,0.041796875
17,0,0,0.444,0.548,0.408,0.548,0.548,0.053027344
18,0,0,0.44,0.548,0.412,0.548,0.548,0.067545573
19,0,0,0.44,0.548,0.412,0.548,0.548,0.081998698
20,0,0,0.44,0.548,0.376,0.548,0.548,0.09436849
21,0,0,0.44,0.548,0.42,0.548,0.548,0.099544271
22,0,0,0.44,0.548,0.42,0.548,0.548,0.102604167
23,0,0,0.44,0.544,0.42,0.544,0.544,0.106803385
24,0,0,0.44,0.544,0.416,0.544,0.544,0.117740885
25,0,0,0.44,0.544,0.416,0.544,0.544,0.133040365
26,0,0,0.44,0.544,0.416,0.544,0.544,0.142122396
27,0,0,0.44,0.544,0.42,0.544,0.544,0.150651042
28,0,0,0.44,0.544,0.42,0.544,0.544,0.163769531
29,0,0,0.44,0.54,0.416,0.54,0.54,0.165983073
30,0,0,0.44,0.54,0.416,0.54,0.54,0.160188802
31,0,0,0.44,0.54,0.416,0.54,0.54,0.155664063
32,0,0,0.44,0.536,0.416,0.536,0.536,0.151302083
33,0,0,0.44,0.536,0.416,0.536,0.536,0.146647135
34,0,0,0.44,0.536,0.412,0.536,0.536,0.142545573
35,0,0,0.44,0.532,0.412,0.532,0.532,0.146419271
36,0,0,0.44,0.532,0.412,0.532,0.532,0.154492188
37,0,0,0.436,0.532,0.416,0.532,0.532,0.162044271
38,0,0,0.436,0.528,0.42,0.528,0.528,0.163053385
39,0,0,0.436,0.528,0.424,0.528,0.528,0.162792969
40,0,0,0.436,0.528,0.424,0.528,0.528,0.161523438
41,0,0,0.436,0.524,0.424,0.524,0.524,0.162988281
42,0,0,0.436,0.524,0.424,0.524,0.524,0.164811198
43,0,0,0.436,0.524,0.424,0.524,0.524,0.168522135
44,0,0,0.436,0.524,0.424,0.524,0.524,0.17281901
45,0,0,0.436,0.524,0.424,0.524,0.524,0.178320313
46,0,0,0.436,0.524,0.424,0.524,0.524,0.185188802
47,0,0,0.436,0.524,0.424,0.524,0.524,0.1921875
48,0,0,0.436,0.524,0.424,0.524,0.524,0.200227865
49,1,0.22,0.408,0.52,0.364,0.52,0.52,0.208984375
50,1,0.28,0.408,0.516,0.38,0.516,0.516,0.210058594
51,1,0.304,0.416,0.516,0.42,0.516,0.516,0.195084635
52,1,0.28,0.42,0.52,0.424,0.52,0.52,0.167252604
53,1,0.304,0.404,0.52,0.42,0.52,0.52,0.13968099
54,1,0.38,0.412,0.52,0.388,0.52,0.52,0.109570313
55,1,0.22,0.416,0.52,0.408,0.52,0.52,0.063671875
56,1,0.192,0.416,0.524,0.42,0.524,0.524,0.036653646
57,1,0,0.424,0.524,0.42,0.524,0.524,0.032226563
58,1,0,0.42,0.524,0.412,0.524,0.524,0.0375
59,1,0,0.42,0.528,0.404,0.528,0.528,0.054329427
60,1,0,0.42,0.532,0.412,0.532,0.532,0.085839844
61,1,0,0.42,0.532,0.412,0.532,0.532,0.116113281
62,1,0,0.424,0.536,0.416,0.536,0.536,0.136230469
63,1,0,0.428,0.54,0.384,0.54,0.54,0.138639323
64,1,0,0.432,0.544,0.42,0.544,0.544,0.15485026
65,0,0,0.436,0.544,0.416,0.544,0.544,0.180240885
66,0,0,0.436,0.544,0.408,0.544,0.544,0.2046875
67,0,0,0.432,0.544,0.4,0.544,0.544,0.22047526
68,0,0,0.432,0.544,0.416,0.544,0.544,0.237727865
69,0,0,0.432,0.544,0.424,0.544,0.544,0.2671875
70,0,0,0.428,0.544,0.424,0.544,0.544,0.304947917
71,0,0,0.424,0.54,0.404,0.54,0.54,0.330989583
72,0,0,0.428,0.54,0.38,0.54,0.54,0.337630208
73,0,0,0.428,0.54,0.424,0.54,0.54,0.338313802
74,0,0,0.432,0.54,0.424,0.54,0.54,0.339420573
75,0,0,0.432,0.54,0.424,0.54,0.54,0.341145833
76,0,0,0.432,0.54,0.424,0.54,0.54,0.342610677
77,0,0,0.436,0.54,0.424,0.54,0.54,0.344824219
78,0,0,0.436,0.54,0.424,0.54,0.54,0.344303385
79,0,0,0.436,0.54,0.424,0.54,0.54,0.339290365
80,0,0,0.436,0.54,0.424,0.54,0.54,0.335188802
81,1,0.212,0.42,0.54,0.424,0.54,0.54,0.328808594
82,1,0.264,0.412,0.536,0.368,0.536,0.536,0.313020833
83,1,0.268,0.424,0.54,0.408,0.54,0.54,0.27985026
84,1,0.3,0.428,0.544,0.42,0.544,0.544,0.248665365
85,1,0.308,0.416,0.544,0.42,0.544,0.544,0.216471354
86,1,0,0.42,0.548,0.404,0.548,0.548,0.179980469
87,1,0,0.424,0.548,0.42,0.548,0.548,0.169986979
88,0,0,0.424,0.548,0.384,0.548,0.548,0.16311849
89,0,0,0.428,0.548,0.424,0.548,0.548,0.156347656
90,0,0,0.432,0.548,0.424,0.548,0.548,0.15218099
91,0,0,0.436,0.548,0.424,0.548,0.548,0.149576823
92,0,0,0.436,0.548,0.424,0.548,0.548,0.143977865
93,0,0,0.436,0.548,0.42,0.548,0.548,0.144075521
94,0,0,0.44,0.548,0.416,0.548,0.548,0.147102865
95,0,0,0.44,0.548,0.412,0.548,0.548,0.147851563
96,0,0,0.44,0.548,0.412,0.548,0.548,0.147167969
97,0,0,0.44,0.548,0.412,0.548,0.548,0.148828125
98,0,0,0.44,0.548,0.416,0.548,0.548,0.151692708
99,0,0,0.44,0.548,0.416,0.548,0.548,0.167057292
100,0,0,0.436,0.548,0.42,0.548,0.548,0.194921875
101,0,0,0.428,0.548,0.404,0.548,0.548,0.212923177
102,0,0,0.424,0.548,0.404,0.548,0.548,0.225651042
103,0,0,0.42,0.548,0.408,0.548,0.548,0.230566406
